"filename", "language", "Python", "JavaScript", "HTML", "Markdown", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\README.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\css\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 652, 23, 84, 759
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\css\telemetry.css", "PostCSS", 0, 0, 0, 0, 0, 0, 630, 21, 106, 757
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\css\theme.css", "PostCSS", 0, 0, 0, 0, 0, 0, 811, 98, 133, 1042
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\faq.html", "HTML", 0, 0, 122, 0, 0, 0, 0, 1, 17, 140
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\APXFavicon.svg", "XML", 0, 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\CaddyFavicon.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\F1Favicon.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\FerrariFavicon.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\KikiFavicon.svg", "XML", 0, 0, 0, 0, 0, 156, 0, 0, 1, 157
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\McLFavicon.svg", "XML", 0, 0, 0, 0, 0, 92, 0, 0, 1, 93
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\favicons\site.webmanifest", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\index.html", "HTML", 0, 0, 458, 0, 0, 0, 0, 19, 45, 522
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\de.json", "JSON", 0, 0, 0, 0, 395, 0, 0, 0, 0, 395
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\en.json", "JSON", 0, 0, 0, 0, 396, 0, 0, 0, 1, 397
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\es.json", "JSON", 0, 0, 0, 0, 396, 0, 0, 0, 0, 396
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\fr.json", "JSON", 0, 0, 0, 0, 395, 0, 0, 0, 0, 395
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\id.json", "JSON", 0, 0, 0, 0, 412, 0, 0, 0, 0, 412
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\it.json", "JSON", 0, 0, 0, 0, 396, 0, 0, 0, 0, 396
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\ja.json", "JSON", 0, 0, 0, 0, 410, 0, 0, 0, 0, 410
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\ms.json", "JSON", 0, 0, 0, 0, 395, 0, 0, 0, 0, 395
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\locales\pt.json", "JSON", 0, 0, 0, 0, 395, 0, 0, 0, 0, 395
